Quarter,SPR_BAA_TBOND1,SPR_BAA_TBOND2,SPR_BAA_TBOND3,SPR_BAA_TBOND4,SPR_BAA_TBOND5,SPR_BAA_TBOND6,SPR_BAA_TBONDA,SPR_BAA_TBONDB
2018-12-31,,1.9055,1.9268,1.9339,1.9607,2.0074,1.8363,1.9593
2018-09-30,,1.8953,1.9386,1.9711,2.0005,2.0297,1.8476,2.0054
2018-06-30,,1.7987,1.8185,1.8463,1.8678,1.8887,1.7917,1.9079
2018-03-31,,1.7878,1.8225,1.8528,1.8762,1.9038,1.8303,2.0233
2017-12-31,,2.0253,2.0564,2.0804,2.0926,2.1371,2.1672,2.0951
2017-09-30,,2.1705,2.1876,2.2078,2.2389,2.2422,2.2072,2.2282
2017-06-30,,2.2671,2.2852,2.3043,2.325,2.304,2.275,2.3237
2017-03-31,,2.3916,2.3866,2.4036,2.4606,2.4938,2.4035,2.4478
2016-12-31,,2.6589,2.6865,2.6939,2.6863,2.7262,2.9239,2.701
2016-09-30,,2.9186,2.9063,2.9174,2.8801,2.8635,3.0407,2.8897
2016-06-30,,3.1146,3.068,3.043,3.0119,2.9682,3.1618,2.8953
2016-03-31,,3.3076,3.2307,3.1617,3.1091,3.0508,3.191,3.0837
2015-12-31,,3.0077,2.9347,2.9015,2.9023,2.8907,2.8053,2.9083
2015-09-30,,2.7785,2.7105,2.6957,2.6971,2.6884,2.6604,2.6565
2015-06-30,,2.5709,2.5322,2.4855,2.4802,2.4934,2.542,2.5121
2015-03-31,,2.5519,2.4814,2.4318,2.4414,2.4248,2.4878,2.407
2014-12-31,,2.3357,2.3446,2.3428,2.3508,2.3385,2.2706,2.3342
2014-09-30,,2.2974,2.3352,2.3375,2.3399,2.3396,2.2692,2.3436
2014-06-30,,2.3504,2.3615,2.3716,2.3665,2.3676,2.3638,2.3496
2014-03-31,,2.5667,2.5875,2.5707,2.5467,2.532,2.5687,2.4881
2013-12-31,,2.7276,2.6861,2.6788,2.6794,2.715,2.7711,2.6792
2013-09-30,,2.7051,2.7417,2.7587,2.7664,2.7477,2.8436,2.8079
2013-06-30,,2.8467,2.8278,2.8432,2.8203,2.8136,2.8492,2.8139
2013-03-31,,2.8167,2.8196,2.8117,2.8039,2.7849,2.8241,2.7201
2012-12-31,,3.0211,3.0106,2.9707,2.925,2.8888,3.1759,2.9532
2012-09-30,,3.2718,3.2047,3.1569,3.1175,3.0942,3.2362,3.1208
2012-06-30,,3.0935,3.033,2.9772,2.9278,2.9163,3.0386,2.891
2012-03-31,,3.1558,3.1019,3.0227,2.9604,2.8986,3.0339,2.8239
2011-12-31,,3.0025,2.9339,2.8404,2.8232,2.7744,2.8064,2.8412
2011-09-30,,2.7458,2.7053,2.6575,2.6028,2.5488,2.6766,2.5616
2011-06-30,,2.6155,2.5892,2.566,2.5283,2.5259,2.5895,2.5113
2011-03-31,,2.8025,2.7324,2.6645,2.5856,2.4802,2.6968,2.4615
2010-12-31,,3.0409,2.9272,2.8475,2.7449,2.6659,2.8352,2.7908
2010-09-30,,2.8537,2.7543,2.6683,2.5886,2.545,2.7552,2.6006
2010-06-30,,2.5341,2.5385,2.5212,2.4467,2.3868,2.5651,2.3783
2010-03-31,,2.6776,2.6602,2.614,2.5607,2.4396,2.6347,2.3729
